"prvdr_id","msr_cd","scr"
"'070029'","HAC_1","0.000"
"'070031'","HAC_1","0.163"
"'070033'","HAC_1","0.000"
"'070034'","HAC_1","0.000"
"'070035'","HAC_1","0.062"
"'070036'","HAC_1","0.000"
"'070039'","HAC_1","0.000"
"'070040'","HAC_1","0.000"
"'073300'","HAC_1","Not Available"
"'080001'","HAC_1","0.000"
"'080003'","HAC_1","0.000"
"'080004'","HAC_1","0.000"
"'080006'","HAC_1","0.000"
"'080007'","HAC_1","0.000"
"'080009'","HAC_1","Not Available"
"'090001'","HAC_1","0.445"
"'090003'","HAC_1","0.000"
"'090004'","HAC_1","0.000"
"'090005'","HAC_1","0.000"
"'090006'","HAC_1","0.107"
"'090008'","HAC_1","0.000"
"'090011'","HAC_1","0.000"
"'093300'","HAC_1","Not Available"
"'100001'","HAC_1","0.000"
"'100002'","HAC_1","0.073"
"'100006'","HAC_1","0.049"
"'100007'","HAC_1","0.000"
"'100008'","HAC_1","0.000"
"'100009'","HAC_1","0.000"
"'100012'","HAC_1","0.000"
"'100014'","HAC_1","0.000"
"'100017'","HAC_1","0.000"
"'100018'","HAC_1","0.000"
"'100019'","HAC_1","0.043"
"'100022'","HAC_1","0.047"
"'100023'","HAC_1","0.000"
"'100025'","HAC_1","0.173"
"'100026'","HAC_1","0.060"
"'100028'","HAC_1","0.000"
"'100029'","HAC_1","0.000"
"'100030'","HAC_1","0.000"
"'100032'","HAC_1","0.000"
"'100034'","HAC_1","0.063"
"'100035'","HAC_1","0.090"
"'100038'","HAC_1","0.000"
"'100039'","HAC_1","0.000"
"'100040'","HAC_1","0.000"
"'100043'","HAC_1","0.000"
"'100044'","HAC_1","0.064"
"'100045'","HAC_1","0.000"
"'100046'","HAC_1","0.131"
"'100047'","HAC_1","0.000"
"'100048'","HAC_1","0.000"
"'100049'","HAC_1","0.368"
"'100050'","HAC_1","0.000"
"'100051'","HAC_1","0.000"
"'100052'","HAC_1","0.000"
"'100053'","HAC_1","0.000"
"'100054'","HAC_1","0.000"
"'100055'","HAC_1","0.000"
"'100057'","HAC_1","0.000"
"'100062'","HAC_1","0.000"
"'100063'","HAC_1","0.000"
"'100067'","HAC_1","0.000"
"'100068'","HAC_1","0.094"
"'100069'","HAC_1","0.000"
"'100070'","HAC_1","0.000"
"'100071'","HAC_1","0.000"
"'100072'","HAC_1","0.000"
"'100073'","HAC_1","0.000"
