"prvdr_id","msr_cd","scr","footnote","Sample"
"010157","ED_1b","231","2","297"
"010157","ED_2b","52","2","277"
"010157","OP_18b","153","","700"
"010157","OP_20","41","","645"
"010157","OP_21","82","","27"
"010157","OP_23","Not Available","1","Not Available"
"010157","OP_22","4","","6738"
"010158","ED_1b","221","2","371"
"010158","ED_2b","62","2","371"
"010158","OP_18b","102","","1080"
"010158","OP_20","24","","1130"
"010158","OP_21","48","","50"
"010158","OP_23","Not Available","1","Not Available"
"010158","OP_22","2","","5766"
"010164","ED_1b","177","2","622"
"010164","ED_2b","64","2","666"
"010164","OP_18b","74","","676"
"010164","OP_20","16","","747"
"010164","OP_21","46","","134"
"010164","OP_23","Not Available","1","Not Available"
"010164","OP_22","0","","15735"
"010168","ED_1b","272","2","256"
"010168","ED_2b","80","2","254"
"010168","OP_18b","108","","858"
"010168","OP_20","29","","873"
"010168","OP_21","68","","125"
"010168","OP_23","Not Available","1, 3","Not Available"
"010168","OP_22","3","","6793"
"010169","ED_1b","213","2","303"
"010169","ED_2b","65","2","300"
"010169","OP_18b","127","","719"
"010169","OP_20","36","","235"
"010169","OP_21","76","1","19"
"010169","OP_23","Not Available","1","Not Available"
"010169","OP_22","3","","5418"
"011300","ED_1b","188","2","135"
"011300","ED_2b","43","2","112"
"011300","OP_18b","105","","1028"
"011300","OP_20","23","","1097"
"011300","OP_21","77","1","19"
"011300","OP_23","0","1","11"
"011300","OP_22","1","","1745"
"011302","ED_1b","Not Available","5","Not Available"
"011302","ED_2b","Not Available","5","Not Available"
"011302","OP_18b","Not Available","5","Not Available"
"011302","OP_20","Not Available","5","Not Available"
"011302","OP_21","Not Available","5","Not Available"
"011302","OP_23","Not Available","5","Not Available"
"011302","OP_22","1","","2143"
"011304","ED_1b","Not Available","5","Not Available"
"011304","ED_2b","Not Available","5","Not Available"
"011304","OP_18b","Not Available","5","Not Available"
"011304","OP_20","Not Available","5","Not Available"
"011304","OP_21","Not Available","5","Not Available"
"011304","OP_23","Not Available","5","Not Available"
"011304","OP_22","Not Available","","Not Available"
"013301","ED_1b","Not Available","5","Not Available"
"013301","ED_2b","Not Available","5","Not Available"
"020001","ED_1b","364","2","478"
"020001","ED_2b","161","2","470"
"020001","OP_18b","152","","915"
"020001","OP_20","42","","878"
"020001","OP_21","77","","177"
"020001","OP_23","Not Available","1","Not Available"
"020001","OP_22","2","","35702"
"020006","ED_1b","242","2","581"
"020006","ED_2b","95","2","559"
"020006","OP_18b","132","","978"
"020006","OP_20","29","","1015"
"020006","OP_21","49","","187"
"020006","OP_23","Not Available","1","Not Available"
"020006","OP_22","2","","14163"
"020008","ED_1b","286","2","181"
"020008","ED_2b","98","2","137"
"020008","OP_18b","138","","872"
"020008","OP_20","25","","924"
"020008","OP_21","60","","50"
"020008","OP_23","Not Available","1","Not Available"
"020008","OP_22","0","","7071"
"020012","ED_1b","255","2","388"
"020012","ED_2b","110","2","330"
"020012","OP_18b","119","","691"
"020012","OP_20","10","","246"
"020012","OP_21","45","","116"
"020012","OP_23","Not Available","1","Not Available"
"020012","OP_22","1","","17607"
"020017","ED_1b","239","2","387"
"020017","ED_2b","92","2","382"
"020017","OP_18b","105","","1263"
"020017","OP_20","20","","1331"
"020017","OP_21","52","","50"
"020017","OP_23","Not Available","7","0"
"020017","OP_22","1","","12532"
"020018","ED_1b","355","2","391"
"020018","ED_2b","111","2","159"
"020024","ED_1b","272","2","278"
"020024","ED_2b","94","2","265"
"020024","OP_18b","127","","681"
"020024","OP_20","24","","726"
"020024","OP_21","39","","59"
"020024","OP_23","Not Available","1","Not Available"
"020024","OP_22","0","","8509"
"020026","ED_1b","340","2","353"
"020026","ED_2b","94","2","319"
"020026","OP_18b","161","","347"
"020026","OP_20","64","","260"
"020026","OP_21","76","","70"
"020026","OP_23","Not Available","3, 7","0"
"020026","OP_22","6","","30399"
"020027","ED_1b","145","2","199"
"020027","ED_2b","15","2","81"
"021301","ED_1b","Not Available","5","Not Available"
"021301","ED_2b","Not Available","5","Not Available"
"021302","ED_1b","Not Available","5","Not Available"
"021302","ED_2b","Not Available","5","Not Available"
"021303","ED_1b","Not Available","5","Not Available"
"021303","ED_2b","Not Available","5","Not Available"
"021304","ED_1b","Not Available","5","Not Available"
"021304","ED_2b","Not Available","5","Not Available"
"021305","ED_1b","Not Available","5","Not Available"
"021305","ED_2b","Not Available","5","Not Available"
"021306","ED_1b","Not Available","5","Not Available"
"021306","ED_2b","Not Available","5","Not Available"
"021306","OP_18b","Not Available","5","Not Available"
"021306","OP_20","Not Available","5","Not Available"
"021306","OP_21","Not Available","5","Not Available"
"021306","OP_23","Not Available","5","Not Available"
"021306","OP_22","Not Available","","Not Available"
"021307","ED_1b","Not Available","5","Not Available"
"021307","ED_2b","Not Available","5","Not Available"
"021308","ED_1b","Not Available","5","Not Available"
"021308","ED_2b","Not Available","5","Not Available"
"021309","ED_1b","Not Available","5","Not Available"
"021309","ED_2b","Not Available","5","Not Available"
"021311","ED_1b","268","2","296"
"021311","ED_2b","169","2","293"
"021311","OP_18b","130","","802"
"021311","OP_20","14","","832"
"021311","OP_21","63","","45"
"021311","OP_23","Not Available","1","Not Available"
"021311","OP_22","2","","4690"
"021313","ED_1b","Not Available","1, 3","Not Available"
"021313","ED_2b","Not Available","1, 3","Not Available"
"021313","OP_18b","90","3","54"
"021313","OP_20","0","3","61"
"021313","OP_21","Not Available","1, 3","Not Available"
"021313","OP_23","Not Available","1, 3","Not Available"
"021313","OP_22","Not Available","","Not Available"
"030001","ED_1b","268","2","786"
"030001","ED_2b","97","2","779"
"030001","OP_18b","141","","499"
"030001","OP_20","35","","985"
"030001","OP_21","49","","176"
"030001","OP_23","57","1","14"
"030001","OP_22","2","","25576"
"030002","ED_1b","259","2","381"
"030002","ED_2b","73","2","328"
"030002","OP_18b","180","","762"
"030002","OP_20","22","","180"
"030002","OP_21","57","","76"
"030002","OP_23","Not Available","1","Not Available"
"030002","OP_22","2","","31593"
"030006","ED_1b","305","2","467"
"030006","ED_2b","104","2","461"
"030006","OP_18b","180","","1340"
"030006","OP_20","39","","1403"
"030006","OP_21","62","","366"
"030006","OP_23","Not Available","1, 3","Not Available"
"030006","OP_22","3","","43885"
"030007","ED_1b","292","2","582"
"030007","ED_2b","109","2","409"
"030007","OP_18b","149","","913"
"030007","OP_20","26","","869"
"030007","OP_21","59","","137"
"030007","OP_23","56","1","18"
"030007","OP_22","1","","15401"
"030010","ED_1b","353","2","800"
"030010","ED_2b","153","2","773"
"030010","OP_18b","202","","844"
"030010","OP_20","41","","966"
"030010","OP_21","88","","109"
"030010","OP_23","Not Available","1, 3","Not Available"
"030010","OP_22","2","","26399"
"030011","ED_1b","364","2","516"
"030011","ED_2b","155","2","499"
"030011","OP_18b","216","","905"
"030011","OP_20","45","","973"
"030011","OP_21","102","","206"
"030011","OP_23","Not Available","1, 3","Not Available"
"030011","OP_22","3","","28101"
"030012","ED_1b","278","2","824"
"030012","ED_2b","90","2","711"
"030012","OP_18b","146","","638"
"030012","OP_20","34","","563"
"030012","OP_21","56","","127"
"030012","OP_23","19","1","21"
"030012","OP_22","1","","17014"
"030013","ED_1b","380","2","648"
"030013","ED_2b","108","2","641"
"030013","OP_18b","220","","917"
"030013","OP_20","22","","803"
"030013","OP_21","77","","361"
"030013","OP_23","16","","43"
"030013","OP_22","3","","36098"
"030014","ED_1b","274","2","412"
"030014","ED_2b","79","2","335"
"030014","OP_18b","213","","835"
"030014","OP_20","54","","890"
"030014","OP_21","84","","100"
"030014","OP_23","Not Available","1","Not Available"
"030014","OP_22","4","","25312"
"030016","ED_1b","277","2","771"
"030016","ED_2b","103","2","727"
"030016","OP_18b","160","","907"
"030016","OP_20","14","","981"
"030016","OP_21","69","","109"
"030016","OP_23","81","1","16"
"030016","OP_22","0","","18849"
"030022","ED_1b","348","2","609"
"030022","ED_2b","97","2","590"
"030022","OP_18b","210","","854"
"030022","OP_20","40","","990"
"030022","OP_21","70","","190"
"030022","OP_23","Not Available","7","0"
"030022","OP_22","1","","28392"
"030023","ED_1b","322","2","510"
"030023","ED_2b","143","2","487"
"030023","OP_18b","166","","888"
"030023","OP_20","36","","903"
"030023","OP_21","70","","165"
"030023","OP_23","48","1","21"
