"Provider ID","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"050444","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050454","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050455","SPP_1","1.01",,"01/01/2012","12/31/2012"
"050457","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050464","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050468","SPP_1","1.30",,"01/01/2012","12/31/2012"
"050471","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050481","SPP_1","1.10",,"01/01/2012","12/31/2012"
"050485","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050488","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050492","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050496","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050498","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050502","SPP_1","1.04",,"01/01/2012","12/31/2012"
"050503","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050506","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050510","SPP_1","1.01",,"01/01/2012","12/31/2012"
"050512","SPP_1","0.81",,"01/01/2012","12/31/2012"
"050515","SPP_1","0.73",,"01/01/2012","12/31/2012"
"050516","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050517","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050523","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050526","SPP_1","1.11",,"01/01/2012","12/31/2012"
"050528","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050534","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050537","SPP_1","0.85",,"01/01/2012","12/31/2012"
"050541","SPP_1","0.81",,"01/01/2012","12/31/2012"
"050543","SPP_1","1.08",,"01/01/2012","12/31/2012"
"050547","SPP_1","0.70",,"01/01/2012","12/31/2012"
"050549","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050551","SPP_1","1.07",,"01/01/2012","12/31/2012"
"050552","SPP_1","0.81",,"01/01/2012","12/31/2012"
"050557","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050561","SPP_1","0.86",,"01/01/2012","12/31/2012"
"050567","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050568","SPP_1","1.01",,"01/01/2012","12/31/2012"
"050570","SPP_1","1.12",,"01/01/2012","12/31/2012"
"050573","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050575","SPP_1","1.30",,"01/01/2012","12/31/2012"
"050580","SPP_1","1.13",,"01/01/2012","12/31/2012"
"050581","SPP_1","1.13",,"01/01/2012","12/31/2012"
"050586","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050588","SPP_1","1.15",,"01/01/2012","12/31/2012"
"050589","SPP_1","1.07",,"01/01/2012","12/31/2012"
"050590","SPP_1","0.88",,"01/01/2012","12/31/2012"
"050597","SPP_1","1.11",,"01/01/2012","12/31/2012"
"050599","SPP_1","0.90",,"01/01/2012","12/31/2012"
"050603","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050604","SPP_1","0.87",,"01/01/2012","12/31/2012"
"050608","SPP_1","0.91",,"01/01/2012","12/31/2012"
"050609","SPP_1","0.84",,"01/01/2012","12/31/2012"
"050616","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050618","SPP_1","0.92",,"01/01/2012","12/31/2012"
"050624","SPP_1","1.03",,"01/01/2012","12/31/2012"
"050625","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050633","SPP_1","0.98",,"01/01/2012","12/31/2012"
"050636","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050641","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050663","SPP_1","1.31",,"01/01/2012","12/31/2012"
"050668","SPP_1","0.62",,"01/01/2012","12/31/2012"
