"prvdr_id","msr_cd","scr","footnote"
"341303","HAI_2_CI_UPPER",,"5"
"341303","HAI_2_CI_LOWER",,"5"
"341303","HAI_3_SIR","Not Available","5"
"341303","HAI_3_ELIGCASES","Not Available","5"
"341303","HAI_3_NUMERATOR","Not Available","5"
"341303","HAI_3_PROCDAYS","Not Available","5"
"341303","HAI_3_CI_UPPER",,"5"
"341303","HAI_3_CI_LOWER",,"5"
"341303","HAI_4_SIR","Not Available","5"
"341303","HAI_4_ELIGCASES","Not Available","5"
"341303","HAI_4_NUMERATOR","Not Available","5"
"341303","HAI_4_PROCDAYS","Not Available","5"
"341303","HAI_4_CI_UPPER",,"5"
"341303","HAI_4_CI_LOWER",,"5"
"341307","HAI_1_SIR","Not Available","5"
"341307","HAI_1_ELIGCASES","Not Available","5"
"341307","HAI_1_NUMERATOR","Not Available","5"
"341307","HAI_1_DEVICEDAYS","Not Available","4"
"341307","HAI_1_CI_UPPER",,"5"
"341307","HAI_1_CI_LOWER",,"5"
"341307","HAI_2_SIR","Not Available","5"
"341307","HAI_2_ELIGCASES","Not Available","5"
"341307","HAI_2_NUMERATOR","Not Available","5"
"341307","HAI_2_DEVICEDAYS","Not Available","5"
"341307","HAI_2_CI_UPPER",,"5"
"341307","HAI_2_CI_LOWER",,"5"
"341307","HAI_3_SIR","Not Available","5"
"341307","HAI_3_ELIGCASES","Not Available","5"
"341307","HAI_3_NUMERATOR","Not Available","5"
"341307","HAI_3_PROCDAYS","Not Available","5"
"341307","HAI_3_CI_UPPER",,"5"
"341307","HAI_3_CI_LOWER",,"5"
"341307","HAI_4_SIR","Not Available","5"
"341307","HAI_4_ELIGCASES","Not Available","5"
"341307","HAI_4_NUMERATOR","Not Available","5"
"341307","HAI_4_PROCDAYS","Not Available","5"
"341307","HAI_4_CI_UPPER",,"5"
"341307","HAI_4_CI_LOWER",,"5"
"350006","HAI_1_SIR","0.24",""
"350006","HAI_1_ELIGCASES","4.168",""
"350006","HAI_1_NUMERATOR","1",""
"350006","HAI_1_DEVICEDAYS","Not Available","4"
"350006","HAI_1_CI_UPPER","1.337",""
"350006","HAI_1_CI_LOWER","0.006",""
"350006","HAI_2_SIR","Not Available","5"
"350006","HAI_2_ELIGCASES","0.926","5"
"350006","HAI_2_NUMERATOR","2","5"
"350006","HAI_2_DEVICEDAYS","772","5"
"350006","HAI_2_CI_UPPER",,"5"
"350006","HAI_2_CI_LOWER",,"5"
"350006","HAI_3_SIR","Not Available","5"
"350006","HAI_3_ELIGCASES","0.428","5"
